Assessment,Check,Status,Severity,Description,Recommendation,Reference,Compliance Impact,Exploitable,MITRE ATT&CK,Exploitation Details
"Tiered Administration Model Assessment","Just-In-Time Administration",FAILED,Medium,"Checks if just-in-time (JIT) administration is implemented","Implement just-in-time administration to minimize standing privileges and reduce attack surface","https://docs.microsoft.com/en-us/security/compass/privileged-access-deployment","","No","",""
"Active Directory Certificate Services Security Assessment","Certificate Authority Discovery",PASSED,Informational,"Discovers Certificate Authorities in the Active Directory environment","Document all Certificate Authorities and ensure they are properly secured","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-security-certificate-services-client-authentication","","No","",""
"Active Directory Certificate Services Security Assessment","Vulnerable Certificate Templates",FAILED,Critical,"Checks for vulnerable certificate templates that could be exploited for privilege escalation","Disable or secure vulnerable certificate templates that could allow privilege escalation","https://posts.specterops.io/certified-pre-owned-d95910965cd2","","No","",""
"Active Directory Certificate Services Security Assessment","Certificate Enrollment Permissions",FAILED,High,"Checks certificate enrollment permissions for overly permissive settings","Review and restrict certificate enrollment permissions to prevent unauthorized certificate issuance","https://learn.microsoft.com/en-us/windows/security/identity-protection/access-control/access-control","","No","",""
"Active Directory Certificate Services Security Assessment","Insecure Cryptographic Settings",FAILED,High,"Checks for insecure cryptographic settings in Active Directory Certificate Services","Configure strong cryptographic settings on all Certificate Authorities","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/system-cryptography-use-fips-compliant-algorithms-for-encryption-hashing-and-signing","","No","",""
"Active Directory Certificate Services Security Assessment","CA Server Security",FAILED,Critical,"Checks security settings on Certificate Authority servers","Implement comprehensive security controls for all Certificate Authority servers","https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/dn786426(v=ws.11)","","No","",""
"Group Policy Security Assessment","Default Domain Policy",FAILED,High,"Checks if the Default Domain Policy follows security best practices","Create dedicated GPOs for specific policy areas rather than overloading the Default Domain Policy.","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/implementing-secure-administrative-hosts","","No","",""
"Group Policy Security Assessment","Password Policy GPO",FAILED,High,"Checks for dedicated password policy GPOs and their security settings","Create a dedicated Password Policy GPO with strong password requirements and separate it from the Default Domain Policy.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-policy","","No","",""
"Group Policy Security Assessment","Privileged Access Management GPOs",FAILED,Critical,"Checks for GPOs related to privileged access management","Implement comprehensive privileged access management GPOs that enforce the tiered administration model.","https://docs.microsoft.com/en-us/windows-server/identity/securing-privileged-access/securing-privileged-access-reference-material","","No","",""
"Group Policy Security Assessment","Audit Policy Configuration",PASSED,High,"Checks if audit policies are properly configured in GPOs","Configure advanced audit policies to log both success and failure events for critical security actions.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/advanced-security-audit-policy-settings","","No","",""
"Group Policy Security Assessment","User Rights Assignment",FAILED,Critical,"Checks if user rights are assigned according to the principle of least privilege","Restrict privileged rights to the minimum necessary accounts and implement separation of duties.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/user-rights-assignment","","No","",""
"Group Policy Security Assessment","Security Options Configuration",FAILED,High,"Checks if security options in GPOs follow security best practices","Configure security options according to security best practices"" focusing on authentication"" encryption"" and protocol security.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/security-options","","No","",""
"Group Policy Security Assessment","WMI Filtering Usage",PASSED,Medium,"Checks if WMI filtering is effectively used for GPO targeting","Use WMI filters to apply GPOs only to systems that need them"" improving security and reducing GPO processing overhead.","https://docs.microsoft.com/en-us/troubleshoot/windows-server/group-policy/use-wmi-filters","","No","",""
"Group Policy Security Assessment","Empty GPOs",FAILED,Low,"Checks for empty or unused GPOs that should be removed","Remove empty GPOs and unlink GPOs that have no settings to maintain a clean and manageable Group Policy environment.","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/component-updates/group-policy--management-enhancements","","No","",""
"Group Policy Security Assessment","GPO Permissions",FAILED,High,"Checks if GPO permissions follow security best practices","Restrict GPO permissions following the principle of least privilege and ensure proper delegation of GPO management.","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/securing-domain-controllers-against-attack#secure-domain-controller-policy-settings","NIST SP 800-53: AC-2""AC-3""AC-6; CIS: 5.1""5.2; ISO 27001: A.9.2.3""A.9.4.1","No","",""
"Privileged Access Management Assessment","Privileged Access Management Solution",FAILED,High,"Checks if a comprehensive PAM solution is implemented","Implement a comprehensive Privileged Access Management solution that includes just-in-time administration"" credential vaulting"" and session monitoring.","https://docs.microsoft.com/en-us/security/compass/privileged-access-access-model","NIST SP 800-53: AC-2(7)""AC-3(7)""AC-6(1)""AC-6(2); CIS: 4.1""4.3""4.5""16.3; ISO 27001: A.9.2.3""A.9.4.1""A.9.4.4","No","",""
"Privileged Access Management Assessment","Privileged Access Workstations",FAILED,Critical,"Checks if Privileged Access Workstations (PAWs) are implemented for administrative activities","Implement dedicated Privileged Access Workstations for all administrative activities to protect privileged credentials from theft and misuse.","https://docs.microsoft.com/en-us/security/compass/privileged-access-devices","NIST SP 800-53: AC-2(1)""AC-3""AC-6(5); CIS: 4.3""16.3; ISO 27001: A.6.2.1""A.6.2.2""A.9.4.1","No","",""
"Privileged Access Management Assessment","Just-In-Time Privileged Access",FAILED,High,"Checks if just-in-time (JIT) privileged access is implemented for administrative roles","Implement just-in-time privileged access to eliminate standing privileges and reduce the attack surface for privileged account compromise.","https://docs.microsoft.com/en-us/security/compass/privileged-access-access-model#ad-ds-and-azure-ad-admin-tier-model","NIST SP 800-53: AC-2(7)""AC-2(11)""AC-6(1); CIS: 4.3""4.5; ISO 27001: A.9.2.3""A.9.2.5""A.9.4.4","No","",""
"Privileged Access Management Assessment","Dedicated Administrative Forest",FAILED,Medium,"Checks if a dedicated administrative forest is implemented for enhanced security isolation","Consider implementing a dedicated administrative forest for enhanced security of privileged identities"" especially in larger enterprise environments.","https://docs.microsoft.com/en-us/security/compass/esae-retirement","NIST SP 800-53: AC-3(3)""SC-7(13); CIS: 16.11; ISO 27001: A.13.1.3""A.14.1.2","No","",""
"Privileged Access Management Assessment","Credential Guard Implementation",FAILED,High,"Checks if Windows Defender Credential Guard is enabled for administrative workstations","Enable Windows Defender Credential Guard on all administrative workstations to protect credentials from theft techniques.","https://docs.microsoft.com/en-us/windows/security/identity-protection/credential-guard/credential-guard","NIST SP 800-53: AC-3""AC-6""SC-28; CIS: 16.9""16.11; ISO 27001: A.8.2.3""A.9.4.3","No","",""
"Privileged Access Management Assessment","Pass-the-Hash Mitigations",FAILED,Critical,"Checks if mitigations against Pass-the-Hash attacks are implemented","Implement comprehensive mitigations against credential theft attacks"" including LSASS protection"" LAPS"" and Credential Guard.","https://docs.microsoft.com/en-us/windows-server/security/credentials-protection-and-management/securing-credentials","NIST SP 800-53: AC-3""IA-5""SC-28; CIS: 16.7""16.10; ISO 27001: A.9.2.4""A.9.4.3","No","T1003.001; T1550.002",""
"Privileged Access Management Assessment","Protected Users Group Membership",FAILED,High,"Checks if privileged accounts are members of the Protected Users group","Add all privileged accounts to the Protected Users group to prevent the use of NTLM"" unconstrained Kerberos delegation"" and other vulnerable authentication mechanisms.","https://docs.microsoft.com/en-us/windows-server/security/credentials-protection-and-management/protected-users-security-group","NIST SP 800-53: AC-2(7)""AC-3""IA-5(1); CIS: 16.6""4.3; ISO 27001: A.9.2.3""A.9.4.2""A.9.4.3","No","",""
"Compliance and Regulatory Assessment","NIST SP 800-53 Compliance",FAILED,High,"Evaluates compliance with NIST SP 800-53 security controls","Address non-compliant controls"" focusing on account management"" access control"" and secure communications.","https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final","","No","",""
"Compliance and Regulatory Assessment","CIS Controls Compliance",FAILED,High,"Evaluates compliance with CIS Controls","Address non-compliant controls"" focusing on account management"" authentication"" and access control.","https://www.cisecurity.org/controls/","","No","",""
"Compliance and Regulatory Assessment","ISO 27001 Compliance",FAILED,High,"Evaluates compliance with ISO 27001 controls","Address non-compliant controls"" focusing on access control"" authentication"" and password management.","https://www.iso.org/isoiec-27001-information-security.html","","No","",""
"Compliance and Regulatory Assessment","PCI DSS Compliance",FAILED,High,"Evaluates compliance with PCI DSS requirements","Address non-compliant requirements"" focusing on account management"" access control"" and cryptography.","https://www.pcisecuritystandards.org/document_library/","","No","",""
"Compliance and Regulatory Assessment","HIPAA Security Rule Compliance",FAILED,High,"Evaluates compliance with HIPAA Security Rule requirements","Address non-compliant requirements"" focusing on access control"" authentication"" and data protection.","https://www.hhs.gov/hipaa/for-professionals/security/laws-regulations/index.html","","No","",""
"Compliance and Regulatory Assessment","Compliance Gap Analysis",FAILED,Medium,"Analyzes gaps across multiple compliance frameworks","Develop a unified compliance approach addressing common gaps across all frameworks.","https://csrc.nist.gov/projects/risk-management/sp800-53-controls/mapping-documents","","No","",""
